Estimate of Buildings in Community,
Community,Buildings
Adak,42
Akhiok,13
Akiachak,43
Akiak,28
Akutan,19
Alakanuk,39
Aleknagik,27
Allakaket,15
Ambler,25
Anaktuvuk Pass,33
Angoon,29
Aniak,43
Anvik,13
Arctic Village,18
Atka,25
Atmautluak,30
Atqasuk,31
Barrow,195
Beaver,13
Bethel,254
Bettles,28
Birch Creek,5
Brevig Mission,30
Buckland,36
Central,21
Chalkyitsik,18
Chefornak,35
Chenega,21
Chevak,51
Chignik,37
Chignik Lagoon,46
Chignik Lake,28
Chistochina,14
Chitina,19
Chuathbaluk,27
Circle,12
Clark's Point,12
Coffman Cove,19
Cold Bay,24
Copper Center,28
Cordova,117
Covenant Life,16
Craig,65
Crooked Creek,18
Deering,23
Dillingham,111
Diomede,20
Dot Lake Village,12
Dry Creek,22
Eagle,18
Eagle Village,10
Eek,28
Egegik,33
Ekwok,17
Elfin Cove,17
Elim,28
Emmonak,50
Evansville,13
False Pass,18
Fort Yukon,35
Gakona,43
Galena,40
Gambell,39
Glennallen,37
Golovin,20
Goodnews Bay,19
Grayling,17
Gulkana,23
Gustavus,38
Haines,86
Healy,73
Hollis,18
Holy Cross,20
Hoonah,48
Hooper Bay,55
Hughes,16
Huslia,23
Hydaburg,30
Hyder,13
Igiugig,15
Iliamna,35
Juneau,1221
Kake,37
Kaktovik,28
Kaltag,18
Karluk,11
Kasaan,20
Kasigluk,38
Kenny Lake,42
Ketchikan,319
Kiana,30
King Cove,57
King Salmon,42
Kipnuk,38
Kivalina,36
Klawock,43
Klukwan,23
Kobuk,24
Kodiak,251
Kodiak Station,67
Kokhanok,19
Koliganek,32
Kongiganak,30
Kotlik,38
Kotzebue,145
Koyuk,24
Koyukuk,13
Kupreanof,16
Kwethluk,45
Kwigillingok,28
Lake Minchumina,16
Larsen Bay,21
Levelock,18
Lime Village,51
Lower Kalskag,23
Manley Hot Springs,21
Manokotak,32
Marshall,32
McCarthy,36
McGrath,35
Mekoryuk,22
Mentasta,16
Metlakatla,72
Minto,19
Mosquito Lake,24
Mountain Village,49
Mud Bay,32
Naknek,47
Napakiak,26
Napaskiak,30
Naukati Bay,22
Nelson Lagoon,21
New Allakaket,19
New Stuyahok,34
Newhalen,25
Newtok,31
Nightmute,30
Nikolai,16
Nikolski,11
Noatak,42
Nome,158
Nondalton,17
Noorvik,44
Northway,34
Northway Junction,18
Northway Village,11
Nuiqsut,50
Nulato,23
Nunam Iqua,25
Nunapitchuk,36
Old Harbor,24
Oscarville,18
Ouzinkie,22
Pedro Bay,19
Pelican,34
Perryville,18
Petersburg,131
Pilot Point,14
Pilot Station,39
Pitkas Point,21
Platinum,18
Point Baker,10
Point Hope,51
Point Lay,34
Port Alexander,23
Port Alsworth,27
Port Heiden,25
Port Lions,29
Port Protection,14
Quinhagak,39
Rampart,19
Red Devil,20
Ruby,18
Russian Mission,27
Sand Point,62
Savoonga,39
Saxman,33
Scammon Bay,32
Selawik,46
Shageluk,14
Shaktoolik,25
Shishmaref,36
Shungnak,30
Silver Springs,34
Sitka,351
Skagway,59
Slana,16
Sleetmute,16
South Naknek,27
St. George,21
St. Mary's,36
St. Michael,28
St. Paul,32
Stebbins,36
Stevens Village,11
Stony River,10
Takotna,26
Tanacross,23
Tanana,26
Tatitlek,17
Tazlina,34
Teller,20
Tenakee Springs,28
Tetlin,14
Thorne Bay,37
Togiak,49
Tok,64
Toksook Bay,46
Tuluksak,25
Tuntutuliak,30
Tununak,24
Twin Hills,16
Ugashik,21
Unalakleet,45
Unalaska,203
Upper Kalskag,23
Valdez,181
Venetie,15
Wainwright,42
Wales,20
White Mountain,19
Willow Creek,16
Womens Bay,65
Wrangell,106
Yakutat,49
,9819
