Community,HDD in ARIS equations
Adak,9046
Akhiok,9102
Akiachak,13213
Akiak,13105
Akutan,8554
Alakanuk,13339
Alatna,16625
Aleknagik,11751
Allakaket,16625
Ambler,15675
Anaktuvuk Pass,18873
Anchor Point,10115
Anchorage,10816
Anderson,14274
Angoon,8450
Aniak,13356
Anvik,13462
Arctic Village,17356
Atka,9054
Atmautluak,13106
Atqasuk,20370
Attu,9490
Auke Bay,8461
Barrow,20370
Beaver,15788
Bethel,13334
Bettles,15959
Big Lake,11796
Birch Creek,16326
Bird Creek,10816
Boundary,15412
Brevig Mission,14138
Buckland,16462
Candle,16462
Cantwell,13893
Central,16315
Chalkyitsik,14274
Chandalar Lake,17241
Chefornak,12990
Chena Hot Springs,15381
Chenega,9350
Chevak,13339
Chickaloon,11790
Chicken,14891
Chignik,9612
Chignik Lake,9612
Chiniak,8539
Chistochina,13534
Chitina,13200
Chuathbaluk,13356
Chugiak,10816
Circle,16349
Circle Hot Springs,15763
Clam Gulch,11375
Clark's Point,11306
Clear,14375
Coffman Cove,8104
Cold Bay,9877
Coldfoot,16589
Cooper Landing,10527
Copper Center,14101
Cordova,9004
Craig,7487
Crooked Creek,13552
Deering,16462
Delta Junction,13549
Denali Nat'l Park,14152
Dillingham,11306
Diomede,15939
Dot Lake,14829
Douglas,8075
Dry Creek,14829
Dutch Harbor,9197
Eagle,14891
Eagle River,10816
Eek,11548
Egegik,11836
Ekwok,11306
Elfin Cove,8140
Elim,13943
Emmonak,13467
Nanwalek,10136
Ester,14274
Evansville,15788
Eyak,9778
Fairbanks,14274
False Pass,9733
Fort Yukon,16326
Gakona,13534
Galena,14847
Gambell,14572
Girdwood,10336
Glenallen,14067
Golovin,13943
Goodnews Bay,12107
Grayling,14574
Gulkana,14004
Gustavus,8858
Haines,8505
Halibut Cove,10349
Healy,12582
Hollis,7802
Holy Cross,13462
Homer,10349
Hoonah,9105
Hooper Bay,13334
Hope,10100
Houston,10810
Hughes,14942
Huslia,14942
Hydaburg,7084
Hyder,7165
Igiugig,11306
Iliamna,11130
Indian,10604
Ivanof Bay,9612
Jakolof Bay,10349
Juneau,8897
"Juneau, City of",8021
Kake,8527
Kaktovik,20370
Kalifonsky,11395
Kaltag,14371
Karluk,8539
Kasaan,7802
Kasigluk,13106
Kasilof,11337
Kenai,11395
Kenny Lake,14036
Ketchikan,7084
Kiana,15675
King Cove,9733
King Salmon,11716
Kipnuk,12990
Kivalina,16758
Klawock,7084
Klukwan,10476
Kobuk,15716
Kodiak,8837
Kokhanok,11610
Koliganek,11306
Kongiganak,11306
Kotlik,13467
Kotzebue,16032
Koyuk,13943
Koyukuk,14371
Kupreanof,8134
Kwethluk,13106
Kwigillingok,12990
Larsen Bay,9065
Levelock,11306
Lime Village,13339
Lower Kalskag,13382
Manley Hot Springs,14593
Manokotak,11306
Marshall,12785
McCarthy,13053
McGrath,14574
Mekoryok,13575
Mentasta Lake,15400
Metlakatla,7000
Meyers Chuck,7165
Minchumina,13858
Minto,15528
Moose Pass,11126
Mountain Village,13448
Naknek,11716
Napaimute,13356
Napakiak,13106
Napaskiak,13106
Naukati,7084
Nelson Lagoon,8865
Nenana,14539
New Stuyahok,11306
Newhalen,11130
Newtok,13048
Nightmute,13048
Nikiski,10899
Nikolaevsk,11155
Nikolai,15214
Nikolski,9555
Ninilchik,11155
Noatak,16758
Nome,14371
Nondalton,11130
Noorvik,15675
North Pole,15403
Northway,15763
Nuiqsut,20370
Nulato,14371
Nunapitchuk,13106
Nunum Iqua,13467
Old Harbor,8614
Oscarville,13106
Ouzinkie,8539
Palmer,10868
Paxson,14182
Pedro Bay,11130
Pelican,8529
Perryville,9612
Petersburg,8134
Pilot Point,10415
Pilot Station,13334
Pitkas Point,12785
Platinum,12107
Point Baker,7084
Point Hope,16501
Point Lay,19109
Port Alexander,7513
Port Alsworth,11206
Port Graham,10136
Port Heiden,10415
Port Lions,8539
Port Protection,7084
Quinhagak,12107
Rampart,15528
Red Devil,13339
Ruby,13858
Russian Mission,13382
Saint George,10242
Saint Mary's,12785
Saint Michael,14272
Saint Paul,11178
Salcha,14274
Sand Point,8865
Savoonga,14971
Saxman,7165
Scammon Bay,13048
Selawik,16827
Seldovia,10136
Seward,9188
Shageluk,13462
Shaktoolik,13919
Shemya,9555
Shishmaref,15790
Shungnak,15586
Sitka,8011
Skagway,8666
Skwentna,11873
Slana,14004
Sleetmute,13339
Soldotna,11775
South Naknek,11772
Stebbins,14272
Sterling,12006
Stevens Village,15528
Stony River,12633
Sutton,10451
Takotna,14424
Talkeetna,11804
Tanacross,15479
Tanana,15024
Tatitlek,9778
Tazlina,14067
Teller,15142
Tenakee Springs,8180
Tetlin,15400
Thorne Bay,7802
Togiak,11306
Tok,15400
Toksook Bay,12990
Tonsina,13928
Trapper Creek,11863
Tuluksak,13106
Tuntutuliak,13106
Tununak,13106
Twin Hills,11306
Tyonek,9742
Ugashik,10415
Unalakleet,13919
Unalaska,9014
Upper Kalskag,13356
Valdez,9711
Venetie,16465
Wainwright,19824
Wales,15939
Ward Cove,7165
Wasilla,10810
Whale Pass,7084
White Mountain,13578
Whittier,9348
Willow,12332
Wiseman,15959
Wrangell,7968
Yakutat,9605
